"V1";"V2";"V3";"V4";"V5";"V6";"V7";"Kategorija"
"89";"Blitva";12;94;1.3;0.1;0;1.5;"zelenjava"
"90";"Zelena";12;90;1;0;0;2;"zelenjava"
"91";"Endivija";11;93;0.9;0.3;0;1.1;"zelenjava"
"92";"Ohrovt";26;90;3.3;0.1;0;3.3;"zelenjava"
"93";"Zelje, glavnato, belo";22;90;1.9;0.1;0;3.8;"zelenjava"
"94";"Zelje, glavnato, rdece";20;90;1.7;0.1;0;3.5;"zelenjava"
"95";"Zelje, kitajsko";12;95;1;0;0;2;"zelenjava"
"96";"Regrat";45;86;2.7;0.7;0;7.7;"zelenjava"
"97";"Motovilec";20;94;2;0;0;3;"zelenjava"
"98";"Peteršilj";20;87;4;0;0;1;"zelenjava"
"99";"Radic, rdeci";12;95;1.2;0;0;1.7;"zelenjava"
"100";"Radic, zeleni";24;90;1.8;0.5;0;3.2;"zelenjava"
"101";"Solata, glavnata";12;96;1;0.4;0;1.2;"zelenjava"
"102";"Solata, zelena";14;96;1.1;0.1;0;2.2;"zelenjava"
"103";"Špinaca";12;92;2;0;0;1;"zelenjava"
"104";"Rabarbara";12;93;1;0;0;2;"zelenjava"
"105";"Articoka";17;86;1.7;0.2;0;2.3;"zelenjava"
"106";"Brokoli";25;90;3;0.4;0;2.5;"zelenjava"
"107";"Cvetaca, cvet";25;90;3.2;0.2;0;2.7;"zelenjava"
"108";"Grah, zrnje";67;79;5.8;0.4;0;10.6;"zelenjava"
"109";"Fižol, sveži";143;65;10.1;1.5;0;21.8;"zelenjava"
"110";"Buce";15;95;0.6;NA;0;3.4;"zelenjava"
"111";"Kumare";14;96;0.7;0.5;0;1.8;"zelenjava"
"112";"Paprika, rumena";22;93;0.2;0.3;0;5;"zelenjava"
"113";"Paprika, zelena";16;94;0.5;0.3;0;3.1;"zelenjava"
"114";"Paradižnik";14;93;0.9;0;0;2.8;"zelenjava"
"115";"Šparglji";21;92;3;0.1;0;2.3;"zelenjava"
"116";"Cebula, bela";35;87;0.9;NA;0;8.5;"zelenjava"
"117";"Cebula, rdeca";23;93;0.9;NA;0;5.2;"zelenjava"
"118";"Cesen";136;64;6;0;0;28;"zelenjava"
"119";"Por";28;90;2;0;0;5;"zelenjava"
"120";"Krompir";87;76;2.1;0.1;0;20.8;"zelenjava"
"121";"Pesa, kuhana";32;91;1.1;0.1;0;7;"zelenjava"
"122";"Kumarice, kisle";10;95;0.5;0.2;0;2;"zelenjava"
"123";"Zelje, kislo";20;92;2;0.3;0;3;"zelenjava"
"124";"Repa, kisla";20;92;2;0.3;0;3;"zelenjava"
"125";"Paprika, kisla";15;90;0.8;0.6;0;1.7;"zelenjava"
"126";"Paradižnik, kecap";140;65;1;0;0;34;"zelenjava"
"127";"Paradižnik, mezga";39;87;1.7;0;0;7;"zelenjava"
"128";"Grenivka";28;91;0;0;0;7;"sadje"
"129";"Limona";12;91;0;0;0;3;"sadje"
