"V1";"V2";"V3";"V4";"V5";"V6";"V7";"Enota";"Kategorija"
"22";"Puran, temno meso";"186";"69,0";"20,9";"11,2";"82,0";"0";"100g";"meso"
"23";"Gos, sr. mastna, cela";"198";"54,0";"21,8";"12,3";"75,0";"0";"100g";"meso"
"24";"Raca, sr. mastna, cela";"341";"50,0";"20,0";"29";"80,0";"0";"100g";"meso"
"25";"Hrenovke, pi?cancje";"258";"57,0";"12,9";"19,6";"100,0";"6,8";"100g";"meso"
"212";"Losos";"217";"64,0";"22,5";"13,4";"35,0";"0";"100g";"ribe"
"311";"Postrv, kalifornijska";"195";"66,0";"21,5";"11,4";"55,0";"0";"100g";"ribe"
"42";"Postrv, potocna";"86";"80,0";"14,7";"3";"55,0";"0";"100g";"ribe"
"52";"Som";"174";"72,0";"15,3";"11,3";"?";"0";"100g";"ribe"
"62";"?cuka";"85";"79,0";"17,4";"1,7";"?";"0";"100g";"ribe"
"72";"Kovac";"77";"79,0";"16,2";"0,9";"70,0";"1,2";"100g";"ribe"
"82";"List";"83";"78,0";"15,9";"1,7";"57,0";"0,9";"100g";"ribe"
"92";"Oslic";"71";"82,0";"17,0";"0,3";"46,0";"0,1";"100g";"ribe"
"102";"Morski pes";"80";"78,0";"16,0";"1,2";"70,0";"1,3";"100g";"ribe"
"112";"Sku?a";"184";"68,0";"19,0";"12";"70,0";"0";"100g";"ribe"
"122";"Sardela";"98";"75,0";"17,4";"3,2";"60,0";"0";"100g";"ribe"
"132";"Tuna";"225";"62,0";"21,5";"15,5";"52,0";"0";"100g";"ribe"
"142";"Lignji";"77";"81,0";"16,0";"1";"?";"1";"100g";"ribe"
"152";"Hobotnica";"73";"82,0";"15,3";"0,8";"170,0";"0,8";"100g";"ribe"
"162";"Sardine v olju";"330";"49,0";"19,7";"28,3";"80,0";"0";"100g";"ribe"
"172";"Tunina v olju";"287";"55,0";"22,8";"22";"65,0";"0";"100g";"ribe"
"213";"P?enica, zrnje, suho";"326";"14,0";"10,2";"2";"0,0";"72";"100g";"zita"
"312";"Ri?, neglaziran";"329";"12,0";"7,0";"2";"0,0";"72";"100g";"zita"
"43";"Ri?, glaziran";"349";"13,0";"7,0";"1";"0,0";"78";"100g";"zita"
"53";"Koruza, zrnje, suho";"348";"14,0";"8,9";"3,9";"0,0";"72,2";"100g";"zita"
"63";"Proso, suho";"364";"12,0";"11,0";"4";"0,0";"71";"100g";"zita"
"73";"Oves, zrnje, suho";"308";"11,0";"6,9";"6,5";"0,0";"55,5";"100g";"zita"
"83";"Jecmenova ka?a";"274";"13,0";"8,0";"2";"0,0";"74";"100g";"zita"
"93";"P?enicna m., graham";"318";"14,0";"13,2";"2";"0,0";"65,8";"100g";"zita"
"103";"P?enicna m., crna";"327";"14,0";"12,8";"2";"0,0";"68,8";"100g";"zita"
"113";"P?enicna m., polbela";"337";"14,0";"11,3";"1,2";"0,0";"74,8";"100g";"zita"
"123";"P?enicna m., bela";"350";"13,0";"9,8";"1,2";"0,0";"80,1";"100g";"zita"
"133";"Ri?eva moka";"349";"13,0";"7,0";"1";"0,0";"78";"100g";"zita"
"143";"Koruzna moka";"368";"12,0";"7,8";"2,6";"0,0";"76,8";"100g";"zita"
"153";"R?ena moka";"333";"13,0";"8,0";"1";"0,0";"73";"100g";"zita"
"163";"P?enicni zdrob";"333";"13,0";"11,0";"1";"0,0";"70";"100g";"zita"
"173";"Koruzni zdrob";"368";"12,0";"7,8";"2,6";"0,0";"76,8";"100g";"zita"
"182";"Koruzni kosmici";"368";"3,0";"8,6";"1,6";"0,0";"85,1";"100g";"zita"
"192";"Ovseni kosmici";"372";"10,0";"8,0";"7,5";"0,0";"72,8";"100g";"zita"
"202";"Popcorn";"376";"4,0";"13,0";"4";"0,0";"72";"100g";"zita"
"214";"P?enicni otrobi";"206";"8,0";"14,1";"5,5";"0,0";"26,8";"100g";"zita"
"221";"Makaroni";"350";"10,0";"12,0";"2";"0,0";"71";"100g";"zita"
"231";"?pageti";"378";"11,0";"13,6";"1";"0,0";"84";"100g";"zita"
"241";"Kruh, graham";"206";"40,0";"7,0";"2";"0,0";"40";"100g";"zita"
"251";"Kruh, p?enicni, beli";"234";"40,0";"8,0";"2";"0,0";"46";"100g";"zita"
"26";"Kruh, p?enicni, crni";"222";"40,0";"8,0";"2";"0,0";"43";"100g";"zita"
"27";"Prepecenec, beli";"354";"10,0";"11,6";"1,9";"0,0";"77,5";"100g";"zita"
"28";"Kruh, koruzni";"220";"54,0";"4,7";"8,8";"0,0";"31";"100g";"zita"
"29";"Biskvit, nemastni";"351";"12,0";"8,0";"3";"225,0";"73";"100g";"zita"
"215";"Blitva";"12";"94,0";"1,3";"0,1";"0,0";"1,5";"100g";"zelenjava"
"313";"Zelena";"12";"90,0";"1,0";"0";"0,0";"2";"100g";"zelenjava"
"44";"Endivija";"11";"93,0";"0,9";"0,3";"0,0";"1,1";"100g";"zelenjava"
"54";"Ohrovt";"26";"90,0";"3,3";"0,1";"0,0";"3,3";"100g";"zelenjava"
"64";"Zelje, glavnato, belo";"22";"90,0";"1,9";"0,1";"0,0";"3,8";"100g";"zelenjava"
"74";"Zelje, glavnato, rdece";"20";"90,0";"1,7";"0,1";"0,0";"3,5";"100g";"zelenjava"
"84";"Zelje, kitajsko";"12";"95,0";"1,0";"0";"0,0";"2";"100g";"zelenjava"
